Month,1,2,3,4,5,6,7,8,9,10,11,12
0,7.996548269099506,7.577550673211118,4.542616045129881,6.923810454664258,3.788216494660375,4.823904899063425,5.02882115260277,4.553429261850426,7.996662500621137,3.192675471549383,5.200619735109492,6.01758002310382
1,6.284649530062418,7.148758092049755,6.597716557062601,6.466252995313388,6.832081781600868,4.536469790914827,4.230398235455626,3.8755673295901185,6.665417700656148,3.482893652894862,5.134186721220804,4.926372344106438
2,3.383624137047392,3.6455581017280343,9.776588272975726,6.291189583421917,8.392234610266236,5.404189600423716,5.501196553072561,3.781864557658131,3.5808496519149973,5.478819178873789,4.16523792695895,2.589654030422602
